datetime,Earliest eventStart,Earliest eventEnd,vehicleId,First eventType,First eventData,First moveMode,First eventPosition
2022-10-03 12:02:21,2022-10-03 12:02:21,2022-10-03 12:02:24,L19536,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040154313"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":1.7279999,""distance"":0.5203328,""relativeBearing"":7,""headingDifference"":6.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88068,50.188587]},""time"":2022-10-03 12:02:20.807,""positionUTM"":{""type"":""Point"",""coordinates"":[651284.4,5561749.0]}}"
2022-10-03 12:02:24,2022-10-03 12:02:24,2022-10-03 12:02:26,L19112,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040107513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":122,""headingDifference"":-11.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88025,50.18863]},""time"":2022-10-03 12:02:24.024,""positionUTM"":{""type"":""Point"",""coordinates"":[651315.06,5561754.5]}}"
2022-10-03 12:02:30,2022-10-03 12:02:30,2022-10-03 12:02:34,L14663,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040179413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":-8,""headingDifference"":110.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87937,50.188698]},""time"":2022-10-03 12:02:29.469,""positionUTM"":{""type"":""Point"",""coordinates"":[651377.25,5561764.0]}}"
2022-10-03 12:02:40,2022-10-03 12:02:40,2022-10-03 12:02:44,L18661,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040135513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":30.527998,""distance"":39.510265,""relativeBearing"":-11,""headingDifference"":89.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88698,49.754353]},""time"":2022-10-03 12:02:39.87,""positionUTM"":{""type"":""Point"",""coordinates"":[652198.8,5513462.0]}}"
2022-10-03 12:02:40,2022-10-03 12:02:40,2022-10-03 12:02:42,L18194,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040120513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":2.3936462,""relativeBearing"":-18,""headingDifference"":84.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87935,50.18874]},""time"":2022-10-03 12:02:40.719,""positionUTM"":{""type"":""Point"",""coordinates"":[651378.8,5561768.5]}}"
2022-10-03 12:02:47,2022-10-03 12:02:47,2022-10-03 12:02:49,L19539,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040151913"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":25.236,""distance"":42.98906,""relativeBearing"":13,""headingDifference"":-139.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.887344,50.193153]},""time"":2022-10-03 12:02:46.284,""positionUTM"":{""type"":""Point"",""coordinates"":[650794.4,5562243.0]}}"
2022-10-03 12:03:29,2022-10-03 12:03:29,2022-10-03 12:03:31,L21513,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040123913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":32.868,""distance"":21.574364,""relativeBearing"":63,""headingDifference"":-86.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87982,50.196125]},""time"":2022-10-03 12:03:28.089,""positionUTM"":{""type"":""Point"",""coordinates"":[651321.6,5562588.5]}}"
2022-10-03 12:03:30,2022-10-03 12:03:30,2022-10-03 12:03:32,L21731,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040129413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":24.732,""distance"":14.744497,""relativeBearing"":-30,""headingDifference"":95.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87918,50.19575]},""time"":2022-10-03 12:03:28.918,""positionUTM"":{""type"":""Point"",""coordinates"":[651368.94,5562548.0]}}"
2022-10-03 12:03:32,2022-10-03 12:03:32,2022-10-03 12:03:36,L21731,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040184513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":45.612,""distance"":25.31076,""relativeBearing"":-81,""headingDifference"":78.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87923,50.196]},""time"":2022-10-03 12:03:32.127,""positionUTM"":{""type"":""Point"",""coordinates"":[651364.7,5562576.0]}}"
2022-10-03 12:03:33,2022-10-03 12:03:33,2022-10-03 12:03:37,L19539,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040123913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":16.236,""distance"":20.131063,""relativeBearing"":15,""headingDifference"":-78.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88009,50.19606]},""time"":2022-10-03 12:03:33.331,""positionUTM"":{""type"":""Point"",""coordinates"":[651303.0,5562581.0]}}"
2022-10-03 12:03:57,2022-10-03 12:03:57,2022-10-03 12:03:59,TK897,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040133913"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":13.716,""distance"":4.6164474,""relativeBearing"":-10,""headingDifference"":-166.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.84004,50.195293]},""time"":2022-10-03 12:03:56.243,""positionUTM"":{""type"":""Point"",""coordinates"":[654163.25,5562577.5]}}"
2022-10-03 12:04:33,2022-10-03 12:04:33,2022-10-03 12:04:35,TK579,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040126023"",""opponentVehicleType"":{""id"":0,""name"":""Unknown""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":41.472,""distance"":5.596022,""relativeBearing"":-12,""headingDifference"":175.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.90339,50.214344]},""time"":2022-10-03 12:04:32.95,""positionUTM"":{""type"":""Point"",""coordinates"":[649582.7,5564566.0]}}"
2022-10-03 12:04:36,2022-10-03 12:04:36,2022-10-03 12:04:38,L19112,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040195513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":29.448002,""distance"":12.814471,""relativeBearing"":-31,""headingDifference"":121.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87782,50.194313]},""time"":2022-10-03 12:04:35.651,""positionUTM"":{""type"":""Point"",""coordinates"":[651470.25,5562391.0]}}"
2022-10-03 12:04:36,2022-10-03 12:04:36,2022-10-03 12:04:39,TK541,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040127023"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":38.016003,""distance"":28.679892,""relativeBearing"":-24,""headingDifference"":142.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.895676,50.186382]},""time"":2022-10-03 12:04:35.768,""positionUTM"":{""type"":""Point"",""coordinates"":[650221.06,5561473.5]}}"
2022-10-03 12:04:51,2022-10-03 12:04:51,2022-10-03 12:04:57,TK956,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040177682"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":2,""name"":""Backward""},""opponentSpeed"":1.656,""distance"":0.0,""relativeBearing"":0,""headingDifference"":177.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.898476,50.177155]},""time"":2022-10-03 12:04:51.156,""positionUTM"":{""type"":""Point"",""coordinates"":[650049.94,5560441.5]}}"
2022-10-03 12:04:52,2022-10-03 12:04:52,2022-10-03 12:04:57,TK957,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040141513"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":22.284,""distance"":0.0,""relativeBearing"":2,""headingDifference"":-177.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.898186,50.17685]},""time"":2022-10-03 12:04:52.041,""positionUTM"":{""type"":""Point"",""coordinates"":[650071.6,5560408.5]}}"
2022-10-03 12:05:01,2022-10-03 12:05:01,2022-10-03 12:05:03,L20706,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040129413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":29.484,""distance"":13.965408,""relativeBearing"":-38,""headingDifference"":131.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87972,50.188786]},""time"":2022-10-03 12:05:01.143,""positionUTM"":{""type"":""Point"",""coordinates"":[651352.25,5561772.5]}}"
2022-10-03 12:05:05,2022-10-03 12:05:05,2022-10-03 12:05:07,L19539,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040154313"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":26.532,""distance"":3.7267113,""relativeBearing"":-6,""headingDifference"":-171.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87958,50.18935]},""time"":2022-10-03 12:05:04.817,""positionUTM"":{""type"":""Point"",""coordinates"":[651360.6,5561836.0]}}"
2022-10-03 12:05:14,2022-10-03 12:05:14,2022-10-03 12:05:16,L21513,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040135023"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":3,""name"":""Standstill""},""opponentSpeed"":0.0,""distance"":6.8213625,""relativeBearing"":-4,""headingDifference"":-165.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.8802,50.18871]},""time"":2022-10-03 12:05:13.992,""positionUTM"":{""type"":""Point"",""coordinates"":[651318.06,5561763.5]}}"
2022-10-03 12:05:48,2022-10-03 12:05:48,2022-10-03 12:05:50,TK668,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040154023"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":18.647999,""distance"":11.242436,""relativeBearing"":-10,""headingDifference"":-179.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.889336,50.205616]},""time"":2022-10-03 12:05:48.131,""positionUTM"":{""type"":""Point"",""coordinates"":[650612.7,5563624.5]}}"
